brand,model
Audi,Audi A3 Diesel
Audi,Audi A3 Petrol
Audi,Audi A4 Diesel
Audi,Audi A4 Petrol
Audi,Audi A6 Diesel
Audi,Audi A6 Petrol
Audi,Audi A7 3.0 Diesel
Audi,Audi A8 L Diesel
Audi,Audi A8 L Petrol
Audi,Audi Q3 Quattro Diesel
Audi,Audi Q5 Petrol
Audi,Audi Q5 Quattro Diesel
Audi,Audi Q7 3.0 Diesel
Audi,Audi Q7 Diesel
Audi,Audi Q7 Petrol
BMW,BMW 3 Series 325i Petrol
BMW,BMW 3 Series 330i
BMW,BMW 3 Series GT Diesel
BMW,BMW 3 Series GT Petrol
BMW,BMW 3-Series 320d Diesel
BMW,BMW 5 Series 520d Diesel
BMW,BMW 5 Series 520i Petrol
BMW,BMW 5 Series 523i Petrol
BMW,BMW 5 Series 525d Diesel
BMW,BMW 5 Series 530d Diesel
BMW,BMW 5 Series 530i
BMW,BMW 5 Series 535i Petrol
BMW,BMW 6 Series 640d Diesel
BMW,BMW 6 Series 650i Petrol
BMW,BMW 6 Series GT 620d
BMW,BMW 6 Series GT 630d
BMW,BMW 6 Series GT 630i
BMW,BMW 7 Series 730Ld Diesel
BMW,BMW 7 Series 740Li Petrol
BMW,BMW 7 Series 745Le xDrive
BMW,BMW 7 Series 750Li Petrol
BMW,BMW 7 Series M 760Li xDrive
BMW,BMW M2 Competition
BMW,BMW M5 Competition
BMW,BMW X1 sDrive20d
BMW,BMW X1 sDrive20i
BMW,BMW X3 xDrive20d
BMW,BMW X3 xDrive30i
BMW,BMW X4 xDrive20d
BMW,BMW X4 xDrive30d
BMW,BMW X4 xDrive30i
BMW,BMW X5 xDrive30d
BMW,BMW X5 xDrive40i
BMW,BMW X7 xDrive30d
BMW,BMW X7 xDrive40i
BMW,BMW Z4 35i AT Petrol
BMW,BMW Z4 M40i
BMW,BMW Z4 sDrive 35i Petrol
BMW,BMW Z4 sDrive20i
Chevrolet,Opel Vectra Diesel
Chevrolet,Opel Vectra Petrol
Chevrolet,Chevrolet Aveo 1.4 Petrol
Chevrolet,Chevrolet Aveo 1.6 Petrol
Chevrolet,Chevrolet Aveo U VA 1.2 Petrol
Chevrolet,Chevrolet Beat Diesel
Chevrolet,Chevrolet Beat Petrol
Chevrolet,Chevrolet Captiva Diesel
Chevrolet,Chevrolet Cruze Diesel
Chevrolet,Chevrolet Enjoy
Chevrolet,Chevrolet Enjoy 1.4 Petrol
Chevrolet,Chevrolet Forester
Chevrolet,Chevrolet Optra 1.6 Petrol
Chevrolet,Chevrolet Optra Magnum Diesel
Chevrolet,Chevrolet Optra Magnum Petrol
Chevrolet,Chevrolet Optra Srv Petrol
Chevrolet,Chevrolet Sail Diesel
Chevrolet,Chevrolet Sail Hatchback Diesel
Chevrolet,Chevrolet Sail Hatchback Petrol
Chevrolet,Chevrolet Sail Petrol
Chevrolet,Chevrolet Spark 1.0 Petrol
Chevrolet,Chevrolet Tavera Diesel
Chevrolet,Opel Astra Diesel
Chevrolet,Opel Astra Petrol
Chevrolet,Opel Corsa Diesel
Chevrolet,Opel Corsa Petrol
Fiat,Fiat Avventura Diesel
Fiat,Fiat Avventura Petrol
Fiat,Fiat Grande Punto 1.2 Petrol
Fiat,Fiat Grande Punto 1.3 Diesel
Fiat,Fiat Grande Punto 1.4 Petrol
Fiat,Fiat Linea 1.3 Diesel
Fiat,Fiat Linea 1.4 Petrol
Fiat,Fiat Linea TJet Petrol
Fiat,Fiat Palio Adventure 1.6 Petrol
Fiat,Fiat Palio Diesel
Fiat,Fiat Palio Petrol
Fiat,Fiat Petra Diesel
Fiat,Fiat Petra Petrol
Fiat,Fiat Siena Diesel
Fiat,Fiat Siena Petrol
Fiat,Fiat Uno Diesel
Fiat,Fiat Uno Petrol
Ford,Ford Aspire Diesel
Ford,Ford Aspire Petrol
Ford,Ford Ecosport Diesel
Ford,Ford Ecosport Petrol
Ford,Ford Endeavour 2.2 AT
Ford,Ford Endeavour 2.2 AT 2019
Ford,Ford Endeavour 2.5 Diesel
Ford,Ford Endeavour 3.0 Diesel
Ford,Ford Endeavour Dec 2015 Onwards
Ford,Ford Fiesta Classic 1.4  Diesel
Ford,Ford Fiesta Classic 1.6 Petrol
Ford,Ford Fiesta Diesel
Ford,Ford Fiesta Petrol
Ford,Ford Fiesta Torque Diesel
Ford,Ford Figo 1.2 Petrol
Ford,Ford Figo 1.4 Diesel
Ford,Ford Figo 1.4 Petrol
Ford,Ford Fusion Diesel
Ford,Ford Fusion Petrol
Ford,Ford Ikon Old Diesel
Ford,Ford Ikon Old Petrol
Ford,Ford Mondeo Diesel
Ford,Ford Mondeo Petrol
Ford,Ford New Ikon 1.3 Petrol
Ford,Ford New Ikon 1.4 Diesel
Honda,Honda Accord 2.4 Petrol
Honda,Honda Accord Old 3.5 Petrol
Honda,Honda Amaze 1.2 Petrol
Honda,Honda Amaze 1.5 Diesel
Honda,Honda BR-V Diesel
Honda,Honda BR-V Petrol
Honda,Honda Brio Petrol
Honda,Honda City CNG
Honda,Honda City Diesel
Honda,Honda City Petrol
Honda,Honda Civic 1.3 Hybrid
Honda,Honda Civic 1.8 Petrol
Honda,Honda CRV 2.0 Petrol
Honda,Honda Jazz Diesel
Honda,Honda Jazz Petrol
Honda,Honda Mobilio Diesel
Honda,Honda Mobilio Petrol
Honda,Honda WR-V Diesel
Honda,Honda WR-V Petrol
Hyundai,Hyundai Accent Diesel
Hyundai,Hyundai Accent Petrol
Hyundai,Hyundai Alcazar Diesel
Hyundai,Hyundai Alcazar Petrol
Hyundai,Hyundai Aura Diesel
Hyundai,Hyundai Aura Petrol
Hyundai,Hyundai Creta Diesel
Hyundai,Hyundai Creta Diesel 2019 Onward
Hyundai,Hyundai Creta Petrol
Hyundai,Hyundai Elantra 1.6 SX AT Diesel
Hyundai,Hyundai Elantra Diesel
Hyundai,Hyundai Elantra Petrol
Hyundai,Hyundai Elite i20 Asta Petrol
Hyundai,Hyundai Elite i20 Diesel
Hyundai,Hyundai Elite i20 Era Petrol
Hyundai,Hyundai Elite i20 Magna Executive Petrol
Hyundai,Hyundai Elite i20 Sportz Petrol
Hyundai,Hyundai EON CNG
Hyundai,Hyundai EON Petrol
Hyundai,Hyundai Fluidic Verna 1.6 VTVT 2016 Onwards
Hyundai,Hyundai Fluidic Verna Diesel
Hyundai,Hyundai Fluidic Verna Petrol
Hyundai,Hyundai Getz 1.3 Petrol
Hyundai,Hyundai Getz 1.6 Diesel
Hyundai,Hyundai Getz Prime 1.1  Petrol
Hyundai,Hyundai Grand i10 1.2 Petrol
Hyundai,Hyundai Grand i10 Diesel
Hyundai,Hyundai Grand i10 NIOS Diesel
Hyundai,Hyundai Grand i10 NIOS Petrol
Hyundai,Hyundai i10 1.1 Petrol
Hyundai,Hyundai i10 Era Petrol
Hyundai,Hyundai i10 Magna 1.1 iTech Petrol
Hyundai,Hyundai i10 Magna 1.1 Petrol
Hyundai,Hyundai i10 Magna LPG
Hyundai,Hyundai i10 Sportz 1.1 Petrol
Hyundai,Hyundai i10 Sportz 1.1L LPG
Hyundai,Hyundai i20 Active Diesel
Hyundai,Hyundai i20 Active Petrol
Hyundai,Hyundai i20 Asta Diesel
Hyundai,Hyundai i20 Asta Petrol
Hyundai,Hyundai I20 Era Diesel
Hyundai,Hyundai I20 Era Petrol
Hyundai,Hyundai i20 Magna Diesel
Hyundai,Hyundai i20 Magna Petrol
Hyundai,Hyundai i20 Sportz Diesel
Hyundai,Hyundai i20 Sportz Petrol
Hyundai,Hyundai Neo Fluidic Elantra 1.6 Diesel
Hyundai,Hyundai Neo Fluidic Elantra 1.6 S Petrol
Hyundai,Hyundai New Verna Diesel Oct 2018 Onwards
Hyundai,Hyundai Santa Fe Diesel
Hyundai,Hyundai Santro
Hyundai,Hyundai Santro 2018 Onwards
Hyundai,Hyundai Sonata Embera Diesel
Hyundai,Hyundai Sonata Embera Petrol
Hyundai,Hyundai Sonata Transform Diesel
Hyundai,Hyundai Sonata Transform Petrol
Hyundai,Hyundai Terracan Crdi Diesel
Hyundai,Hyundai Tucson Diesel
Hyundai,Hyundai Tucson Petrol
Hyundai,Hyundai Venue Diesel
Hyundai,Hyundai Venue Petrol
Hyundai,Hyundai Verna 1.4 Diesel
Hyundai,Hyundai Verna 1.4 Petrol
Hyundai,Hyundai Verna 1.6 Diesel
Hyundai,Hyundai Verna 1.6 Petrol
Hyundai,Hyundai Xcent 1.1 CRDi Diesel
Hyundai,Hyundai Xcent 1.2 CRDi Diesel
Hyundai,Hyundai Xcent 1.2 Petrol
Hindustan Motors,Mahindra XUV500 Hybrid
Hindustan Motors,Mahindra Alturas G4
Hindustan Motors,Mahindra Bolero Camper
Hindustan Motors,Mahindra Bolero Invader Dx
Hindustan Motors,Mahindra Bolero New
Hindustan Motors,Mahindra Bolero Old
Hindustan Motors,Mahindra Classic Jeep
Hindustan Motors,Mahindra KUV100 ESS Model Diesel
Hindustan Motors,Mahindra KUV100 ESS Model Petrol
Hindustan Motors,Mahindra Quanto
Hindustan Motors,Mahindra Renault Logan 1.4 Petrol
Hindustan Motors,Mahindra Renault Logan 1.5 Diesel
Hindustan Motors,Mahindra Rexton
Hindustan Motors,Mahindra Scorpio M2di Diesel
Hindustan Motors,Mahindra Scorpio Micro Hybrid
Hindustan Motors,Mahindra Scorpio N Diesel
Hindustan Motors,Mahindra Scorpio N Petrol
Hindustan Motors,Mahindra Scorpio Vlx  Diesel
Hindustan Motors,Mahindra Thar 4X4
Hindustan Motors,Mahindra Thar BSVI Diesel
Hindustan Motors,Mahindra Thar BSVI Petrol
Hindustan Motors,Mahindra TUV 300 T10 Automatic
Hindustan Motors,Mahindra TUV300 - T4 / T6
Hindustan Motors,Mahindra Verito 1.4 Petrol
Hindustan Motors,Mahindra Verito 1.5 Diesel
Hindustan Motors,Mahindra Verito Vibe
Hindustan Motors,Mahindra Voyager
Hindustan Motors,Mahindra XUV 3XO Diesel
Hindustan Motors,Mahindra XUV 3XO Petrol
Hindustan Motors,Mahindra XUV300 Diesel
Hindustan Motors,Mahindra XUV300 Petrol
Hindustan Motors,Mahindra XUV500
Hindustan Motors,Mahindra XUV700 Diesel
Hindustan Motors,Mahindra XUV700 Petrol
Hindustan Motors,Mahindra Xylo D2
Hindustan Motors,Mahindra Xylo E2
Mahindra,Maruti Suzuki SX4 Automatic (AT)
Mahindra,Maruti Gypsy 1000
Mahindra,Maruti Suzuki 1000
Mahindra,Maruti Suzuki 800 Std
Mahindra,Maruti Suzuki A Star Petrol
Mahindra,Maruti Suzuki Alto 800 CNG
Mahindra,Maruti Suzuki Alto 800 Petrol
Mahindra,Maruti Suzuki Alto K10 CNG
Mahindra,Maruti Suzuki Alto K10 Petrol
Mahindra,Maruti Suzuki Alto Std  Petrol
Mahindra,Maruti Suzuki Baleno ISS
Mahindra,Maruti Suzuki Baleno New Automatic Petrol
Mahindra,Maruti Suzuki Baleno New Diesel
Mahindra,Maruti Suzuki Baleno New Petrol
Mahindra,Maruti Suzuki Baleno Old Altura
Mahindra,Maruti Suzuki Baleno Old Automatic
Mahindra,Maruti Suzuki Baleno RS
Mahindra,Maruti Suzuki Brezza Hybrid
Mahindra,Maruti Suzuki Celerio CNG
Mahindra,Maruti Suzuki Celerio Diesel
Mahindra,Maruti Suzuki Celerio Petrol
Mahindra,Maruti Suzuki Ciaz 1.3 Hybrid
Mahindra,Maruti Suzuki Ciaz CNG
Mahindra,Maruti Suzuki Ciaz Diesel
Mahindra,Maruti Suzuki Ciaz Petrol
Mahindra,Maruti Suzuki Ciaz Petrol Hybrid
Mahindra,Maruti Suzuki Dzire Diesel Oct 2015 Onwards
Mahindra,Maruti Suzuki Dzire Diesel Upto Sep 2015
Mahindra,Maruti Suzuki Dzire Petrol 2013 Onwards
Mahindra,Maruti Suzuki Dzire Petrol Upto 2012
Mahindra,Maruti Suzuki Eeco  Petrol
Mahindra,Maruti Suzuki Ertiga Diesel
Mahindra,Maruti Suzuki Ertiga Hybrid
Mahindra,Maruti Suzuki Ertiga Petrol
Mahindra,Maruti Suzuki Ertiga Petrol Hybrid
Mahindra,Maruti Suzuki Esteem
Mahindra,Maruti Suzuki Esteem AX
Mahindra,Maruti Suzuki Estilo Petrol
Mahindra,Maruti Suzuki Grand Vitara  Petrol
Mahindra,Maruti Suzuki Ignis Diesel
Mahindra,Maruti Suzuki Ignis Petrol
Mahindra,Maruti Suzuki Kizashi  Petrol
Mahindra,Maruti Suzuki Kizashi Diesel
Mahindra,Maruti Suzuki Omni Petrol
Mahindra,Maruti Suzuki Ritz Automatic
Mahindra,Maruti Suzuki Ritz Diesel
Mahindra,Maruti Suzuki Ritz Petrol
Mahindra,Maruti Suzuki S-Cross Crossover 1.3L
Mahindra,Maruti Suzuki S-Cross Crossover 1.6L
Mahindra,Maruti Suzuki S-Cross Smart Hybrid
Mahindra,Maruti Suzuki S-Presso
Mahindra,Maruti Suzuki S-Presso ISS
Mahindra,Maruti Suzuki Swift Diesel Oct 2015 Onwards
Mahindra,Maruti Suzuki Swift Diesel Upto Sep 2015
Mahindra,Maruti Suzuki Swift Petrol 2012 Onwards
Mahindra,Maruti Suzuki Swift Petrol Upto 2011
Mahindra,Maruti Suzuki SX4 Diesel
Mahindra,Maruti Suzuki SX4 Petrol
Mahindra,Maruti Suzuki Versa Petrol
Mahindra,Maruti Suzuki Vitara Brezza Diesel
Mahindra,Maruti Suzuki Vitara Brezza Petrol
Mahindra,Maruti Suzuki WagonR Petrol
Mahindra,Maruti Suzuki XL6 Hybrid
Mahindra,Maruti Suzuki Zen Diesel
Mahindra,Maruti Suzuki Zen Petrol
Maruti Suzuki,Skoda Fabia 1.2 Petrol
Maruti Suzuki,Skoda Fabia 1.4 Diesel
Maruti Suzuki,Skoda Kodiaq 2.0 TDI Style AT
Maruti Suzuki,Skoda Kushaq Petrol
Maruti Suzuki,Skoda Laura Ambiente 1.8 Petrol
Maruti Suzuki,Skoda Laura Ambiente 2.0 Petrol
Maruti Suzuki,Skoda Laura Ambiente1.9 Diesel
Maruti Suzuki,Skoda Laura Elegance 1.9 Diesel
Maruti Suzuki,Skoda Octavia Diesel
Maruti Suzuki,Skoda Octavia Petrol
Maruti Suzuki,Skoda Rapid  1.6 Petrol
Maruti Suzuki,Skoda Rapid 1.6 Diesel
Maruti Suzuki,Skoda Rapid 1.6 MPI Style Petrol AT
Maruti Suzuki,Skoda Superb 1.8 Petrol
Maruti Suzuki,Skoda Superb 2.0 Diesel
Maruti Suzuki,Skoda Superb 3.6 Petrol
Maruti Suzuki,Skoda Yeti 2.0 Diesel
Mercedes Benz,Volkswagen Ameo 1.2L MPI
Mercedes Benz,Volkswagen Ameo 1.5 TDI Diesel
Mercedes Benz,Volkswagen Beetle 2.0L Petrol
Mercedes Benz,Volkswagen Jetta Diesel New
Mercedes Benz,Volkswagen Jetta Diesel Old
Mercedes Benz,Volkswagen Jetta Petrol
Mercedes Benz,Volkswagen Passat Diesel
Mercedes Benz,Volkswagen Passat Petrol
Mercedes Benz,Volkswagen Phaeton 3.6 V6
Mercedes Benz,Volkswagen Polo 1.2 Diesel
Mercedes Benz,Volkswagen Polo 1.2 Petrol
Mercedes Benz,Volkswagen Polo 1.6 Petrol
Mercedes Benz,Volkswagen Taigun 1.0 Petrol
Mercedes Benz,Volkswagen Taigun 1.5 Petrol
Mercedes Benz,Volkswagen Tiguan 2.0
Mercedes Benz,Volkswagen Touareg 3.0 V6 TDI
Mercedes Benz,Volkswagen Vento 1.2 Petrol
Mercedes Benz,Volkswagen Vento 1.6 Diesel
Mercedes Benz,Volkswagen Vento 1.6 MPI Highline
Mercedes Benz,Volkswagen Vento 1.6 Petrol
Mercedes Benz,Volkswagen Vento 1.6L AT Highline Petrol
Mercedes Benz,Volkswagen Vento Old
Nissan Motor,Tata  Indigo Petrol
Nissan Motor,Tata Altroz Diesel
Nissan Motor,Tata Altroz Petrol
Nissan Motor,Tata Aria Diesel
Nissan Motor,Tata Bolt Diesel
Nissan Motor,Tata Bolt Petrol
Nissan Motor,Tata Harrier
Nissan Motor,Tata Hexa
Nissan Motor,Tata Indica eV2 Diesel
Nissan Motor,Tata Indica V2 Diesel
Nissan Motor,Tata Indica Vista Diesel
Nissan Motor,Tata Indica Vista Petrol
Nissan Motor,Tata Indica Xeta Petrol
Nissan Motor,Tata Indigo CS Diesel
Nissan Motor,Tata Indigo CS Petrol
Nissan Motor,Tata Indigo Diesel
Nissan Motor,Tata Indigo Manza Diesel
Nissan Motor,Tata Indigo Manza Petrol
Nissan Motor,Tata Indigo Marina Diesel
Nissan Motor,Tata Indigo Marina Petrol
Nissan Motor,Tata Nano Petrol
Nissan Motor,Tata Nexon Diesel
Nissan Motor,Tata Nexon Petrol
Nissan Motor,Tata Punch Petrol/CNG
Nissan Motor,Tata Safari Dicor Diesel
Nissan Motor,Tata Safari New
Nissan Motor,Tata Safari Storme Diesel
Nissan Motor,Tata Sierra Diesel
Nissan Motor,Tata Sumo
Nissan Motor,Tata Tiago Diesel
Nissan Motor,Tata Tiago Petrol
Nissan Motor,Tata Tigor Diesel
Nissan Motor,Tata Tigor Petrol
Nissan Motor,Tata Venture Diesel
Nissan Motor,Tata Winger
Nissan Motor,Tata Zest Diesel
Nissan Motor,Tata Zest Petrol
Renault,Toyota Corolla Petrol
Renault,Toyota Camry Hybrid 2.5 Non Electric
Renault,Toyota Camry Petrol
Renault,Toyota Corolla Altis Diesel
Renault,Toyota Corolla Altis Petrol
Renault,Toyota Corolla Automatic
Renault,Toyota Etios Diesel
Renault,Toyota Etios Liva Diesel
Renault,Toyota Etios Liva Petrol
Renault,Toyota Etios Petrol
Renault,Toyota Fortuner D4 Diesel
Renault,Toyota Fortuner New 2017
Renault,Toyota Fortuner New 2017 Automatic
Renault,Toyota Glanza CNG
Renault,Toyota Glanza G Smart Hybrid
Renault,Toyota Glanza Petrol
Renault,Toyota Innova Crysta Diesel
Renault,Toyota Innova Crysta Petrol
Renault,Toyota Innova Diesel Old
Renault,Toyota Innova Hycross Petrol
Renault,Toyota Innova Petrol Old
Renault,Toyota Land Cruiser Prado 3.0 Diesel
Renault,Toyota Land Cruiser Prado 4.0 Petrol
Renault,Toyota Land Cruiser Prado 4.5 Diesel
Renault,Toyota Prius 1.8 Petrol
Renault,Toyota Qualis Diesel
Renault,Toyota Qualis Petrol
Renault,Toyota Urban Cruiser Hyryder
Renault,Toyota Urban Cruiser Petrol
Renault,Toyota Yaris AT
Renault,Toyota Yaris MT
Skoda,Nissan Micra XV CVT Automatic
Skoda,Nissan Datsun Go
Skoda,Nissan Datsun Go+
Skoda,Nissan Datsun redi GO
Skoda,Nissan Evalia
Skoda,Nissan Kicks AT Diesel
Skoda,Nissan Kicks Petrol
Skoda,Nissan Magnite Turbo
Skoda,Nissan Micra Diesel
Skoda,Nissan Micra Petrol
Skoda,Nissan Sunny Diesel
Skoda,Nissan Sunny Petrol
Skoda,Nissan Teana 250 Petrol
Skoda,Nissan Terrano Diesel
Skoda,Nissan Terrano Petrol
Skoda,Nissan X Trail Diesel
Tata Motors,Volvo S60 Diesel
Tata Motors,Volvo S60 Petrol
Tata Motors,Volvo V40 D3
Tata Motors,VOLVO XC 60 D5 Diesel 2013
Tata Motors,Volvo XC60
Toyota,Mercedes Benz A Class A180 CDI
Toyota,Mercedes Benz A Class A180 Sports Automatic
Toyota,Mercedes Benz B Class B180 CDI
Toyota,Mercedes Benz C Class C230 Petrol
Toyota,Mercedes Benz C Class C250 CDI
Toyota,Mercedes Benz C Class Petrol
Toyota,Mercedes Benz C200 CDi Petrol
Toyota,Mercedes Benz C200 Petrol 2015
Toyota,Mercedes Benz C220 CDi Diesel
Toyota,Mercedes Benz C220 CDi Petrol
Toyota,Mercedes Benz E Class E200 Petrol
Toyota,Mercedes Benz E Class E250 Diesel
Toyota,Mercedes Benz E Class E250 Petrol
Toyota,Mercedes Benz E Class E280
Toyota,Mercedes Benz E220 CDi
Toyota,Mercedes Benz E350 Cabriolet
Toyota,Mercedes Benz E350 Cabriolet 2016 Onwards
Toyota,Mercedes Benz GL Class 350 Diesel
Toyota,Mercedes Benz M Class ML320 Diesel
Toyota,Mercedes Benz New M Class ML 350 Petrol
Toyota,Mercedes Benz S Class 350 Diesel
Toyota,Mercedes Benz S Class S350 L Petrol
Toyota,Mercedes Benz S Class S500
Toyota,Mercedes C Class C 200 CDI
Toyota,Mercedes-Benz C-Class Kompressor
Volkswagen,Ambassador Classic Diesel
Volkswagen,Ambassador Classic Petrol
Volkswagen,Mitsubishi Cedia 2.0 Petrol
Volkswagen,Mitsubishi Lancer Diesel
Volkswagen,Mitsubishi Lancer Petrol
Volkswagen,Mitsubishi Lancer Petrol Automatic
Volkswagen,Mitsubishi Montero 3.2 Diesel
Volkswagen,Mitsubishi Outlander Automatic Petrol
Volkswagen,Mitsubishi Outlander Diesel
Volkswagen,Mitsubishi Pajero 4X4 Diesel
Volkswagen,Mitsubishi Pajero Sport
Volvo,Renault Captur Diesel
Volvo,Renault Captur Petrol
Volvo,Renault Duster
Volvo,Renault Duster-THP-110PS
Volvo,Renault Fluence 1.5 Diesel
Volvo,Renault Fluence 2.0 Petrol
Volvo,Renault Kiger Turbo
Volvo,Renault Koleos
Volvo,Renault Kwid
Volvo,Renault Lodgy
Volvo,Renault Pulse Diesel
Volvo,Renault Pulse Petrol
Volvo,Renault Scala Diesel
Volvo,Renault Scala Petrol
Volvo,Renault Triber
